boat	wind_speed	angle	difference	time
1x	0	0	0.0	424.6
1x	1	0	-11.9	412.7
1x	1	30	-10.2	414.4
1x	1	60	-5.7	418.9
1x	1	90	0.1	424.7
1x	1	120	5.9	430.5
1x	1	150	10.1	434.7
1x	1	180	11.6	436.2
1x	2	0	-20.6	404.0
1x	2	30	-17.1	407.5
1x	2	60	-10.1	414.5
1x	2	90	1.6	426.2
1x	2	120	15.1	439.7
1x	2	150	23.0	447.6
1x	2	180	25.8	450.4
1x	3	0	-26.7	397.9
1x	3	30	-23.7	400.9
1x	3	60	-14.2	410.4
1x	3	90	2.5	427.1
1x	3	120	23.3	447.9
1x	3	150	37.2	461.8
1x	3	180	41.1	465.7
1x	4	0	-30.2	394.4
1x	4	30	-27.4	397.2
1x	4	60	-16.5	408.1
1x	4	90	4.1	428.7
1x	4	120	31.1	455.7
1x	4	150	52.4	477.0
1x	4	180	57.2	481.8
1x	5	0	-31.0	393.6
1x	5	30	-32.0	392.6
1x	5	60	-18.8	405.8
1x	5	90	6.8	431.4
1x	5	120	39.5	464.1
1x	5	150	68.2	492.8
1x	5	180	73.7	498.3
1x	6	0	-33.4	391.2
1x	6	30	-32.6	392.0
1x	6	60	-20.2	404.4
1x	6	90	9.9	434.5
1x	6	120	48.7	473.3
1x	6	150	84.3	508.9
1x	6	180	90.3	514.9
2-	0	0	0.0	414.9
2-	1	0	-9.3	405.6
2-	1	30	-7.8	407.1
2-	1	60	-4.1	410.8
2-	1	90	0.7	415.6
2-	1	120	5.4	420.3
2-	1	150	8.6	423.5
2-	1	180	9.7	424.6
2-	2	0	-16.3	398.6
2-	2	30	-13.3	401.6
2-	2	60	-5.7	409.2
2-	2	90	4.1	419.0
2-	2	120	13.2	428.1
2-	2	150	19.4	434.3
2-	2	180	21.3	436.2
2-	3	0	-21.3	393.6
2-	3	30	-17.6	397.3
2-	3	60	-8.4	406.5
2-	3	90	7.8	422.7
2-	3	120	22.6	437.5
2-	3	150	31.4	446.3
2-	3	180	33.9	448.8
2-	4	0	-24.2	390.7
2-	4	30	-21.2	393.7
2-	4	60	-10.7	404.2
2-	4	90	9.3	424.2
2-	4	120	33.4	448.3
2-	4	150	44.3	459.2
2-	4	180	47.3	462.2
2-	5	0	-25.0	389.9
2-	5	30	-26.4	388.5
2-	5	60	-12.5	402.4
2-	5	90	11.1	426.0
2-	5	120	43.5	458.4
2-	5	150	57.9	472.8
2-	5	180	81.3	496.2
2-	6	0	-26.6	388.3
2-	6	30	-26.2	388.7
2-	6	60	-14.3	400.6
2-	6	90	13.8	428.7
2-	6	120	52.3	467.2
2-	6	150	71.9	486.8
2-	6	180	75.5	490.4
4-	0	0	0.0	380.2
4-	1	0	-12.0	368.2
4-	1	30	-10.1	370.1
4-	1	60	-6.1	374.1
4-	1	90	1.3	381.5
4-	1	120	3.0	383.2
4-	1	150	5.7	385.9
4-	1	180	6.3	386.5
4-	2	0	-18.9	361.3
4-	2	30	-15.3	364.9
4-	2	60	-7.1	373.1
4-	2	90	2.6	382.8
4-	2	120	11.3	391.5
4-	2	150	11.5	391.7
4-	2	180	17.2	397.4
4-	3	0	-24.1	356.1
4-	3	30	-19.7	360.5
4-	3	60	-10.3	369.9
4-	3	90	3.4	383.6
4-	3	120	21.6	401.8
4-	3	150	28.1	408.3
4-	3	180	28.9	409.1
4-	4	0	-27.6	352.6
4-	4	30	-24.2	356.0
4-	4	60	-13.2	367.0
4-	4	90	6.3	386.5
4-	4	120	32.2	412.4
4-	4	150	40.7	420.9
4-	4	180	41.2	421.4
4-	5	0	-29.1	351.1
4-	5	30	-26.8	353.4
4-	5	60	-15.4	364.8
4-	5	90	8.3	388.5
4-	5	120	38.8	419.0
4-	5	150	53.9	434.1
4-	5	180	54.0	434.2
4-	6	0	-29.7	350.5
4-	6	30	-29.5	350.7
4-	6	60	-17.3	362.9
4-	6	90	10.8	391.0
4-	6	120	46.8	427.0
4-	6	150	67.1	447.3
4-	6	180	67.0	447.2
8+	0	0	0.0	340.1
8+	1	0	-4.2	335.9
8+	1	30	-2.9	337.2
8+	1	60	-0.1	340.0
8+	1	90	3.1	343.2
8+	1	120	6.2	346.3
8+	1	150	8.1	348.2
8+	1	180	8.4	348.5
8+	2	0	-9.2	330.9
8+	2	30	-6.6	333.5
8+	2	60	-0.9	339.2
8+	2	90	5.8	345.9
8+	2	120	12.0	352.1
8+	2	150	15.5	355.6
8+	2	180	15.9	356.0
8+	3	0	-13.1	327.0
8+	3	30	-9.3	330.8
8+	3	60	-1.2	338.9
8+	3	90	9.9	350.0
8+	3	120	18.6	358.7
8+	3	150	23.7	363.8
8+	3	180	24.0	364.1
8+	4	0	-15.9	324.2
8+	4	30	-12.2	327.9
8+	4	60	-3.0	337.1
8+	4	90	12.8	352.9
8+	4	120	26.2	366.3
8+	4	150	32.5	372.6
8+	4	180	32.5	372.6
8+	5	0	-17.5	322.6
8+	5	30	-15.0	325.1
8+	5	60	-5.4	334.7
8+	5	90	13.9	354.0
8+	5	120	34.7	374.8
8+	5	150	41.6	381.7
8+	5	180	41.5	381.6
8+	6	0	-18.0	322.1
8+	6	30	-20.2	319.9
8+	6	60	-7.2	332.9
8+	6	90	15.5	355.6
8+	6	120	44.8	384.9
8+	6	150	51.4	391.5
8+	6	180	50.8	390.9
